97-08-04.344   664.849   1.3   17.127  0.013   17.829  0.023   18.310  0.036   18.754  0.057
97-08-04.353   664.858   1.3   17.148  0.013   17.797  0.022   18.313  0.035   18.752  0.054
97-08-04.358   664.863   1.3   17.117  0.013   17.874  0.024   18.364  0.037   18.701  0.054
97-08-05.284   665.789   1.2   17.143  0.012   17.865  0.022   18.339  0.034   18.737  0.049
97-08-05.289   665.794   1.3   17.131  0.012   17.825  0.021   18.351  0.034   18.705  0.048
97-08-05.294   665.799   1.2   17.127  0.012   17.840  0.022   18.363  0.035   18.731  0.050
97-08-06.302   666.808   1.2   17.156  0.012   17.827  0.020   18.274  0.031   18.803  0.051
97-08-06.307   666.813   1.3   17.152  0.012   17.840  0.022   18.325  0.034   18.698  0.049
97-08-06.312   666.818   1.2   17.154  0.012   17.829  0.021   18.322  0.033   18.705  0.049
97-08-07.314   667.819   1.2   17.158  0.012   17.825  0.021   18.324  0.033   18.712  0.049
97-08-07.318   667.824   1.3   17.130  0.012   17.802  0.021   18.357  0.034   18.862  0.056
97-08-08.293   668.799   1.3   17.150  0.011   17.871  0.021   18.297  0.031   18.721  0.047
97-08-08.299   668.804   1.3   17.166  0.012   17.810  0.020   18.347  0.033   18.638  0.043
97-08-08.304   668.810   1.3   17.166  0.011   17.849  0.021   18.318  0.032   18.731  0.047
97-08-11.279   671.785   1.2   17.159  0.012   17.814  0.020   18.331  0.033   18.699  0.046
97-08-11.284   671.790   1.3   17.166  0.012   17.810  0.020   18.330  0.033   18.673  0.045
97-08-11.290   671.796   1.3   17.155  0.012   17.827  0.021   18.306  0.033   18.734  0.049
97-08-12.288   672.794   1.2   17.163  0.012   17.860  0.022   18.338  0.034   18.754  0.050
97-08-12.294   672.800   1.3   17.174  0.012   17.835  0.021   18.356  0.034   18.758  0.050
97-08-12.299   672.805   1.3   17.152  0.012   17.835  0.021   18.300  0.033   18.780  0.052
97-08-13.199   673.704   1.3   17.181  0.014   17.852  0.023   18.356  0.037   18.827  0.060
97-08-13.203   673.709   1.4   17.169  0.014   17.849  0.025   18.299  0.037   18.833  0.065
97-08-24.210   684.716   1.3   17.201  0.013   17.899  0.024   18.359  0.036   18.782  0.056
97-08-25.211   685.717   1.2   17.197  0.012   17.812  0.020   18.389  0.034   18.655  0.045
97-08-25.216   685.722   1.2   17.191  0.012   17.811  0.021   18.333  0.033   18.647  0.045
97-08-25.220   685.726   1.2   17.177  0.012   17.852  0.022   18.361  0.034   18.722  0.049
97-08-26.251   686.757   1.2   17.215  0.013   17.793  0.021   18.346  0.035   18.716  0.051
97-08-26.256   686.762   1.3   17.211  0.013   17.833  0.022   18.352  0.035   18.748  0.052
97-08-26.261   686.767   1.3   17.197  0.014   17.811  0.022   18.339  0.036   18.747  0.055
97-08-27.244   687.750   1.4   17.205  0.014   17.799  0.023   18.327  0.036   18.697  0.054
97-08-27.248   687.754   1.3   17.209  0.013   17.811  0.022   18.330  0.035   18.733  0.052
97-08-27.253   687.759   1.2   17.183  0.013   17.829  0.022   18.360  0.036   18.734  0.053
97-08-28.202   688.708   1.3   17.192  0.013   17.828  0.022   18.366  0.035   18.671  0.048
97-08-28.207   688.713   1.2   17.206  0.013   17.826  0.021   18.318  0.034   18.735  0.050
97-08-29.191   689.697   1.3   17.199  0.014   17.832  0.023   18.338  0.038   18.676  0.053
97-08-29.196   689.702   1.3   17.193  0.013   17.829  0.022   18.384  0.037   18.661  0.049
97-08-29.202   689.708   1.2   17.189  0.013   17.829  0.022   18.369  0.036   18.694  0.050
97-09-08.160   699.666   1.3   17.230  0.014   17.810  0.023   18.306  0.035   18.751  0.055
97-09-08.165   699.671   1.3   17.214  0.013   17.826  0.022   18.289  0.034   18.767  0.055
97-09-08.170   699.676   1.4   17.229  0.014   17.830  0.022   18.355  0.036   18.684  0.051
97-09-10.140   701.646   1.3   17.241  0.014   17.851  0.023   18.372  0.037   18.709  0.053
97-09-10.146   701.652   1.3   17.264  0.015   17.848  0.024   18.365  0.037   18.619  0.050
97-09-21.165   712.671   1.3   17.275  0.014   17.829  0.023   18.327  0.036   18.816  0.058
97-09-21.173   712.678   1.4   17.262  0.014   17.834  0.023   18.325  0.035   18.690  0.051
97-09-22.173   713.679   1.3   17.257  0.014   17.843  0.023   18.335  0.036   18.781  0.057
97-09-22.179   713.685   1.2   17.276  0.015   17.858  0.023   18.333  0.036   18.785  0.056
97-09-23.183   714.689   1.2   17.276  0.013   17.859  0.022   18.373  0.035   18.798  0.052
97-09-23.189   714.695   1.2   17.284  0.014   17.861  0.022   18.363  0.035   18.788  0.052
97-09-24.178   715.684   1.3   17.255  0.014   17.855  0.022   18.357  0.035   18.752  0.052
97-09-24.183   715.689   1.2   17.258  0.014   17.836  0.022   18.368  0.037   18.725  0.052
97-10-06.124   727.629   1.3   17.271  0.015   17.848  0.023   18.314  0.035   18.678  0.051
97-10-06.132   727.637   1.3   17.288  0.014   17.838  0.022   18.336  0.035   18.691  0.051
97-10-07.238   728.744   1.3   17.335  0.016   17.916  0.025   18.344  0.038   19.025  0.074
97-10-07.248   728.753   1.3   17.325  0.016   17.909  0.025   18.417  0.039   19.010  0.071
97-10-09.203   730.708   1.3   17.288  0.016   17.782  0.023   18.273  0.035   18.727  0.057
97-10-09.208   730.713   1.3   17.311  0.017   17.808  0.024   18.242  0.036   18.736  0.062
97-10-20.097   741.601   1.3   17.285  0.015   17.817  0.022   18.297  0.034   18.792  0.057
97-10-20.101   741.605   1.2   17.300  0.014   17.828  0.022   18.342  0.035   18.850  0.057
97-10-21.118   742.622   1.3   17.310  0.015   17.781  0.021   18.272  0.033   18.745  0.053
97-10-21.122   742.626   1.2   17.298  0.014   17.803  0.021   18.270  0.032   18.814  0.055
97-10-24.119   745.623   1.2   17.299  0.014   17.805  0.021   18.276  0.032   18.695  0.049
97-10-24.123   745.627   1.2   17.310  0.014   17.792  0.021   18.332  0.034   18.804  0.053
97-10-25.131   746.635   1.2   17.308  0.015   17.796  0.022   18.237  0.033   18.825  0.058
97-10-25.135   746.639   1.3   17.306  0.014   17.782  0.021   18.279  0.033   18.852  0.058
97-10-31.058   752.562   1.2   17.285  0.014   17.773  0.021   18.283  0.033   18.780  0.053
97-10-31.062   752.566   1.2   17.298  0.014   17.808  0.021   18.302  0.033   18.793  0.053
97-11-01.040   753.544   1.2   17.303  0.014   17.777  0.021   18.252  0.032   18.777  0.053
97-11-01.044   753.548   1.4   17.304  0.014   17.796  0.021   18.289  0.033   18.852  0.056
